epoch,train_mse,val_mse
1,0.0342063357861412,0.009968728758394718
2,0.006689463274866442,0.0021976057905703783
3,0.0013440266877611147,0.0006517476867884398
4,0.0006008129983368684,0.00048096681712195277
5,0.0003952385549520308,0.00034024263732135296
6,0.00029663338318944424,0.0002636561112012714
7,0.0002367167361264664,0.00021176799782551825
8,0.00018807119105771313,0.00016601590323261917
9,0.00014929705919624662,0.00013068960106465966
10,0.00011791430554690131,0.0001046233664965257
