case,alpha,soc_gain,health_power,h2_proxy_kg,final_soh_range,final_soh_var,final_mean_soh,soc_min,soc_max,power_mae_kw,start_stop_count
base,0.06,180.0,2.2,0.6156884113110924,0.19999752657482142,0.005449869226525959,0.8499942582129044,0.6193952314341418,0.6498426086064507,14.596432130857647,52.0
slow_filter,0.03,180.0,2.2,0.6185910511233204,0.19999958875213777,0.0054499716412173506,0.8499962460710777,0.6155993706023669,0.6498426086064507,17.223284625485874,23.75
fast_filter,0.12,180.0,2.2,0.6150607537567717,0.19999726316620361,0.005449843279874014,0.8499918100251204,0.6214167566775601,0.6498426086064507,12.76600902532073,79.0
weak_soc,0.06,100.0,2.2,0.6478786353757591,0.19999792711093423,0.0054498902007463325,0.8499944110828305,0.6295762144507362,0.6498426086064507,14.248168127392724,48.0
strong_soc,0.06,260.0,2.2,0.5958799119381106,0.1999977940581687,0.005449885944663349,0.8499941977015482,0.6126406120456547,0.6498426086064507,14.99296577269828,54.0
mild_health,0.06,180.0,1.2,0.6156884113342505,0.1999989432198133,0.005449939321393519,0.8499943188374064,0.6193952314293194,0.6498426086064507,14.596432136358384,52.25
strong_health,0.06,180.0,3.4,0.6156884112091395,0.19999670261420302,0.005449828596412236,0.8499941614743135,0.6193952313958355,0.6498426086064507,14.596432158815874,52.25
