time_s,demand_kw,raw_fc_kw,safe_fc_kw,raw_batt_kw,safe_batt_kw,raw_soc,safe_soc,safe_stack_1_kw,safe_stack_2_kw,safe_stack_3_kw,safe_stack_4_kw
133,-3.9719432718230947,17.82293524593115,10.689071379601955,-21.794878517754242,-14.66101465142505,0.6505652849724358,0.6553743860192645,4.546304792165756,3.0076807364821434,2.0111877471208572,1.1238981038331985
134,0.0,14.4482615403831,8.765038754791021,-14.4482615403831,-8.765038754791021,0.6506424658567327,0.6554212078074845,3.706612065434456,2.4622786790132523,1.656336523592472,0.9398114867508411
135,0.0,11.55716422945261,7.1873316541314125,-11.55716422945261,-7.1873316541314125,0.6507042028451379,0.6554596016731582,3.0166780576109886,2.0171381533145905,1.365702785551548,0.7878126576542854
136,0.0,9.50573068112135,5.893612001091242,-9.50573068112135,-5.893612001091242,0.6507549813209985,0.6554910846432495,2.4569693952798843,1.6534201800823212,1.1250085197389126,0.6582139059901237
137,0.0,8.28060731291771,4.832761641591787,-8.28060731291771,-4.832761641591787,0.6507992153344222,0.6555169006776597,2.002776600420475,1.3553728349506855,0.9261677972972393,0.5484444089233875
138,0.0,7.639663852751255,3.9628646802157164,-7.639663852751255,-3.9628646802157164,0.6508400255045758,0.6555380698265925,1.6338750720024109,1.1111089028418064,0.762023450806737,0.4558572545647621
139,0.0,7.324793189764023,3.2495489809662104,-7.324793189764023,-3.2495489809662104,0.6508791536733245,0.6555554285284139,1.3341261073946953,0.910808052867651,0.6267325486987829,0.3778822720050812
140,0.0,7.175055332481861,2.664630231447518,-7.175055332481861,-2.664630231447518,0.650917481960357,0.6555696626642656,1.0901112109422684,0.7466419134289026,0.5152205005288124,0.31265660654753447
141,0.0,7.1050673723220825,2.1849966840818524,-7.1050673723220825,-2.1849966840818524,0.650955436380081,0.6555813346550994,0.8912345394492149,0.6120972335338593,0.4233651328831911,0.25829977821558714
142,0.0,7.072724308818579,1.7916973447427154,-7.072724308818579,-1.7916973447427154,0.6509932180270298,0.6555909056879239,0.7290036417543888,0.5018175113946199,0.34775815438479185,0.21311803720891476
143,14.44829806809153,7.578482385724783,2.468867739662528,6.869815682366747,11.979430328429002,0.6509565202936838,0.6555269130045456,1.0058588348329067,0.6939967162907124,0.47809090465307236,0.2909212838858366
144,106.1018354213823,13.418011367321014,19.523625820875168,92.68382405406129,86.57820960050714,0.6504614143959591,0.6550644225686454,8.039063215255737,5.562232434749603,3.7733200937509537,2.1490100771188736
145,168.72569985652123,22.960900515317917,44.79414336383343,145.76479934120331,123.9315564926878,0.6496827562798202,0.6544023950232785,18.837708234786987,12.7366304397583,8.54727029800415,4.672534391283989
146,169.2954564122199,32.214054092764854,65.63759222626686,137.08140231945504,103.65786418595303,0.6489504838315325,0.6538486671163022,27.90662944316864,18.62037032842636,12.46487945318222,6.645713001489639
147,184.79083271472604,41.83978736400604,85.53433120250702,142.95104535072,99.25650151221902,0.6481868564525223,0.6533184507620703,36.158329248428345,24.357804656028748,16.281375288963318,8.736822009086609
148,189.0414477162622,49.45627003908157,102.63004302978516,139.58517767718064,86.41140468647706,0.6474412091358707,0.6528568513780614,43.19535493850708,29.19846773147583,19.645626842975616,10.59059351682663
149,188.45689300369085,55.309657007455826,116.55659526586533,133.14723599623503,71.90029773782553,0.6467299525333267,0.6524727685910003,48.7275630235672,33.16237032413483,22.469887137413025,12.196774780750275
150,206.54221047832795,60.46113111078739,131.24278783798218,146.08107936754055,75.29942264034577,0.6459496048871325,0.652070528085443,54.43018674850464,37.349891662597656,25.498247146606445,13.964462280273438
151,211.81397331092225,64.32203650474548,144.24597173929214,147.49193680617677,67.5680015716301,0.6451617206093218,0.6517095879061073,59.4393253326416,41.01795256137848,28.18566858768463,15.603025257587433
152,178.52938936011597,66.50238335132599,148.92774671316147,112.02700600878998,29.601642646954502,0.6445632857481637,0.6515514594731642,61.10910177230835,42.266491055488586,29.24986183643341,16.302292048931122
