iteration,dataset_size,train_mse,val_mse,h2_proxy_kg,power_mae_kw,soc_min,start_stop_count
0,2400,0.002699954368575823,0.0025189395528286695,,,,
1,3600,0.0005171019461057666,0.0005427590804174542,0.3408792303163276,22.486681807834877,0.6269826563531442,4.0
2,4800,0.0005593936536552421,0.0005906671867705882,0.2797711138422535,18.196789055545036,0.6061285413587163,22.0
3,6000,0.00048745029850168995,0.00044755201088264585,0.3807590860213211,13.244707138818647,0.6396786725116299,44.0
