policy,h2_proxy_kg,final_soh_range,final_soh_var,final_mean_soh,soc_min,soc_max,power_mae_kw,start_stop_count
Equal,0.7204125774754918,0.19999999999999996,0.005449999999999998,0.8499383864655614,0.6499999998933308,0.6584670420629972,1.3208597048561153,657.0
Sequential,0.7131044352417422,0.19987368877871348,0.00544349521622477,0.849963473547818,0.6495825341804438,0.6559490826369689,1.9553487058153818,174.875
HC-MPC-style Expert,0.6174388004695941,0.1999977003879818,0.005449864540015119,0.8499939757144248,0.6194217196034606,0.6498359297382599,14.572072498568694,57.5
BC Neural Policy,0.5554575877666063,0.20000673156883053,0.005450331964175782,0.8499941346271711,0.5972782816646169,0.6498654500271179,16.049231073750803,54.625
Safety-Filtered BC,0.6301400179354988,0.19999774676724136,0.005449866427986611,0.8499890345235636,0.6255305800450213,0.6498577700814718,11.841085565443262,111.375
DAgger Policy,0.6669358378233112,0.200002512296511,0.005450106640138676,0.8499915435526451,0.6039605444792806,0.6498832245568198,20.073202233909015,53.5
Safety-Filtered DAgger,0.6301400180257851,0.199996462743294,0.005449790425647328,0.8499892207027056,0.6255305800798773,0.6498577700813475,11.841085564475637,107.5
GRU Sequence BC,0.6874065480634337,0.19999747160592263,0.005449861916170029,0.8499969502023335,0.6384707639459148,0.6644768963928158,17.68340458350776,4.0
Safety-Filtered GRU,0.6301400180086442,0.19999736336723895,0.005449839979645701,0.8499892066717943,0.6255305800824633,0.6498577700812387,11.84108556234325,107.875
